N40_t30_Tr3_s10122_x10
-------------------------------------------------------
iter   objective    log-like      kl-div     f-prior
-------------------------------------------------------
   0    7710.858   -3358.861    4245.260    -106.738
   1    6870.564   -2909.025    3858.568    -102.971
   2    6050.157   -2440.739    3509.251    -100.167
   3    5248.205   -1955.104    3195.157     -97.944
   4    4459.678   -1450.553    2913.009     -96.115
   5    3677.992    -923.628    2659.790     -94.575
   6    2895.273    -369.186    2432.830     -93.256
   7    2102.522     219.403    2229.809     -92.116
   8    1290.120     849.696    2048.693     -91.123
   9     449.310    1528.549    1887.607     -90.253
  10    -424.205    2258.357    1744.666     -89.487
  11   -1323.811    3030.460    1617.843     -88.807
  12   -2227.100    3820.219    1504.922     -88.197
  13   -3103.562    4595.238    1404.031     -87.645
  14   -3936.574    5338.415    1314.702     -87.139
  15   -4719.896    6043.774    1237.207     -86.670
  16   -5449.411    6706.643    1170.999     -86.232
  17   -6127.622    7328.259    1114.819     -85.817
  18   -6760.156    7912.848    1067.271     -85.421
  19   -7349.637    8461.759    1027.080     -85.042
  20   -7897.917    8975.806     993.211     -84.678
  21   -8408.495    9457.688     964.867     -84.326
  22   -8886.652    9912.048     941.411     -83.985
  23   -9338.687   10344.624     922.283     -83.653
  24   -9770.802   10761.081     906.949     -83.330
  25  -10188.269   11166.169     894.886     -83.014
  26  -10595.207   11563.502     885.590     -82.704
  27  -10994.596   11955.593     878.596     -82.401
  28  -11388.667   12344.254     873.483     -82.104
  29  -11778.977   12730.681     869.892     -81.812
  30  -12166.445   13115.487     867.517     -81.525
  31  -12551.568   13498.920     866.108     -81.244
  32  -12934.915   13881.342     865.460     -80.967
  33  -13316.608   14262.712     865.410     -80.694
  34  -13696.782   14643.032     865.823     -80.426
  35  -14075.584   15022.343     866.597     -80.162
  36  -14453.170   15400.718     867.646     -79.902
  37  -14829.557   15778.107     868.904     -79.646
  38  -15204.889   16154.600     870.319     -79.393
  39  -15579.320   16530.310     871.847     -79.143
  40  -15952.851   16905.202     873.455     -78.896
  41  -16325.632   17279.401     875.117     -78.652
  42  -16697.870   17653.090     876.810     -78.410
  43  -17069.772   18026.460     878.517     -78.171
  44  -17441.546   18399.703     880.225     -77.933
  45  -17813.394   18773.012     881.921     -77.697
  46  -18185.514   19146.573     883.597     -77.463
  47  -18557.958   19520.433     885.245     -77.230
  48  -18930.717   19894.575     886.859     -76.998
  49  -19303.866   20269.069     888.435     -76.768
  50  -19677.446   20643.951     889.967     -76.538
  51  -20051.183   21018.945     891.453     -76.310
  52  -20425.150   21394.122     892.889     -76.082
  53  -20799.239   21769.367     894.274     -75.855
  54  -21173.111   22144.344     895.604     -75.629
  55  -21546.382   22518.665     896.879     -75.404
  56  -21918.241   22891.517     898.097     -75.179
  57  -22288.346   23262.557     899.255     -74.956
  58  -22656.632   23631.718     900.353     -74.734
  59  -23022.854   23998.752     901.387     -74.512
  60  -23386.704   24363.351     902.357     -74.290
  61  -23747.597   24724.927     903.260     -74.069
  62  -24105.058   25083.001     904.095     -73.848
  63  -24459.007   25437.493     904.858     -73.628
  64  -24809.092   25788.046     905.547     -73.408
  65  -25155.163   26134.509     906.159     -73.187
  66  -25497.280   26476.939     906.692     -72.967
  67  -25835.553   26815.440     907.141     -72.746
  68  -26170.294   27150.323     907.505     -72.523
  69  -26501.555   27481.636     907.780     -72.300
  70  -26829.393   27809.434     907.965     -72.076
  71  -27153.870   28133.779     908.058     -71.851
  72  -27475.014   28454.699     908.060     -71.625
  73  -27792.933   28772.302     907.972     -71.397
  74  -28107.955   29086.920     907.796     -71.168
  75  -28420.325   29398.800     907.538     -70.937
  76  -28729.787   29707.693     907.202     -70.704
  77  -29036.172   30013.440     906.798     -70.470
  78  -29339.254   30315.822     906.335     -70.233
  79  -29638.871   30614.685     905.821     -69.994
